reference,degraded,moslqo,fvnsim0,fvnsim1,fvnsim2,fvnsim3,fvnsim4,fvnsim5,fvnsim6,fvnsim7,fvnsim8,fvnsim9,fvnsim10,fvnsim11,fvnsim12,fvnsim13,fvnsim14,fvnsim15,fvnsim16,fvnsim17,fvnsim18,fvnsim19,fvnsim20,fvnsim21,fvnsim22,fvnsim23,fvnsim24,fvnsim25,fvnsim26,fvnsim27,fvnsim28,fvnsim29,fvnsim30,fvnsim31,fvnsim10_0,fvnsim10_1,fvnsim10_2,fvnsim10_3,fvnsim10_4,fvnsim10_5,fvnsim10_6,fvnsim10_7,fvnsim10_8,fvnsim10_9,fvnsim10_10,fvnsim10_11,fvnsim10_12,fvnsim10_13,fvnsim10_14,fvnsim10_15,fvnsim10_16,fvnsim10_17,fvnsim10_18,fvnsim10_19,fvnsim10_20,fvnsim10_21,fvnsim10_22,fvnsim10_23,fvnsim10_24,fvnsim10_25,fvnsim10_26,fvnsim10_27,fvnsim10_28,fvnsim10_29,fvnsim10_30,fvnsim10_31,fstdnsim0,fstdnsim1,fstdnsim2,fstdnsim3,fstdnsim4,fstdnsim5,fstdnsim6,fstdnsim7,fstdnsim8,fstdnsim9,fstdnsim10,fstdnsim11,fstdnsim12,fstdnsim13,fstdnsim14,fstdnsim15,fstdnsim16,fstdnsim17,fstdnsim18,fstdnsim19,fstdnsim20,fstdnsim21,fstdnsim22,fstdnsim23,fstdnsim24,fstdnsim25,fstdnsim26,fstdnsim27,fstdnsim28,fstdnsim29,fstdnsim30,fstdnsim31,fvdegenergy0,fvdegenergy1,fvdegenergy2,fvdegenergy3,fvdegenergy4,fvdegenergy5,fvdegenergy6,fvdegenergy7,fvdegenergy8,fvdegenergy9,fvdegenergy10,fvdegenergy11,fvdegenergy12,fvdegenergy13,fvdegenergy14,fvdegenergy15,fvdegenergy16,fvdegenergy17,fvdegenergy18,fvdegenergy19,fvdegenergy20,fvdegenergy21,fvdegenergy22,fvdegenergy23,fvdegenergy24,fvdegenergy25,fvdegenergy26,fvdegenergy27,fvdegenergy28,fvdegenergy29,fvdegenergy30,fvdegenergy31
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_1.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_1.wav,2.64949151,0.831438264,0.932835868,0.852014184,0.897277577,0.876799217,0.886454235,0.866366998,0.869141922,0.85853548,0.782693882,0.603325524,0.560098556,0.734026137,0.710022702,0.674880641,0.766278581,0.829422608,0.592186245,0.709979663,0.840909203,0.696927779,0.14816917,-0.617458245,-0.387698062,-0.0265118337,-0.00577556229,-0.0712713112,0.25718778,0.498063069,0.864718189,0.996940943,0.994381733,0.538392286,0.793024587,0.439005382,0.785589629,0.785876799,0.775839847,0.67358004,0.712498576,0.745310502,0.68476794,0.276421678,0.229397128,0.632423165,0.51174852,0.347334065,0.546316084,0.736700265,-0.0323186769,0.478238704,0.724703514,0.555857446,-0.46321724,-0.844071168,-0.891529569,-0.219475936,-0.122744491,-0.224778436,0.0578786565,0.0803260914,0.715541671,0.99450475,0.991695741,0.267915064,0.118901835,0.265833555,0.155153338,0.190281405,0.172307184,0.208744838,0.198451569,0.194598306,0.270695603,0.400227149,0.425036058,0.254720196,0.307392527,0.339029128,0.253380312,0.1603524,0.41512341,0.289471992,0.156496383,0.211796798,0.441281012,0.340711526,0.28662622,0.187711211,0.174213327,0.127370079,0.192349391,0.349596852,0.232538822,0.00548636095,0.00741285578,19.2297301,24.1232266,26.9810002,28.7576901,29.1944183,28.4975519,29.4469336,28.5397683,28.0947681,25.9285074,25.7354325,25.5698442,24.9417384,22.8653463,21.9057972,19.7584646,18.1519709,15.658844,13.4103046,9.70968396,6.06726257,2.7496728,3.51710244,5.42224907,5.50143675,5.29422492,4.84934141,2.76668264,0.514668981,0,0,3.73188654
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_2.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_2.wav,2.37008005,0.816295941,0.933495119,0.896577261,0.869583802,0.812147227,0.902941589,0.896304117,0.948958535,0.916524568,0.724068424,0.626661208,0.635798784,0.624869438,0.718619818,0.593976559,0.438468547,0.572662868,0.776933226,0.674827441,0.40950323,-0.156629463,-0.512086032,-0.430698905,-0.176392241,0.0340207385,0.0159610202,-0.00645859114,0.0196565993,0.0585505977,0.961912669,0.894859207,0.838637288,0.515067195,0.851851715,0.745169303,0.758743432,0.636539804,0.776132325,0.832271861,0.900443148,0.708805365,0.440561208,0.139102808,0.114029683,0.127417655,0.632844851,0.427820102,0.0609404025,0.422771594,0.701711231,0.36841678,-0.0582618397,-0.534312327,-0.771542841,-0.625754365,-0.387969133,-0.000575675219,-0.00579919254,-0.0377051962,1.37452765e-05,0.00123275019,0.871713885,0.738412629,0.591911753,0.252891355,0.0896741872,0.129721874,0.216117898,0.295006698,0.167357266,0.184884621,0.102917329,0.202280857,0.406624089,0.434651234,0.404977529,0.437767038,0.317413624,0.399031593,0.459303056,0.364615883,0.196255859,0.307098558,0.451179459,0.566659741,0.420403565,0.283439442,0.216013551,0.112560646,0.0632324603,0.0324715348,0.0661007029,0.181146189,0.143880673,0.201263828,0.264420945,14.1993762,19.0798081,22.3131852,23.9268533,25.781183,24.6189548,26.9540601,27.1012694,24.1615455,22.9327867,20.9251815,20.2674329,21.0609214,19.6148351,18.1039369,16.7294361,15.3696283,13.4104757,9.38812423,5.58894357,4.36161894,5.19354509,6.14775054,6.78301201,6.62080022,6.3251465,5.44088954,2.67507066,0.0364108429,0,0,1.36268598
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_3.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_3.wav,2.87242173,0.217624743,0.461630201,0.574470008,0.822066206,0.864779223,0.757677236,0.904200799,0.895437269,0.763041449,0.812902734,0.82233023,0.752604644,0.726217322,0.798569634,0.758250566,0.658456484,0.46681958,0.583913752,0.532776171,0.319415435,0.1485962,-0.180764841,-0.308028823,-0.129150975,0.0363830406,0.0659831374,0.0391886603,0.0415792985,0.943730736,0.993928482,0.955087596,0.927598412,-0.0707609817,0.196116176,0.201153028,0.595973081,0.50947716,0.196699781,0.492807341,0.788428,0.65120795,0.547864167,0.549560694,0.220990187,0.140098753,0.397050408,0.676113149,0.400337302,-0.0678318796,0.275890344,0.142939148,-0.222860463,-0.329307849,-0.428713822,-0.53638631,-0.581534478,-0.158989497,2.25373699e-05,5.89344086e-05,0.0046299754,0.836481626,0.966382715,0.880735195,0.82201676,0.601745639,0.49486798,0.448923668,0.223656376,0.231291146,0.387972961,0.222804224,0.147612834,0.312591425,0.279055617,0.260162854,0.371783969,0.420469255,0.287176288,0.29679117,0.419752651,0.499067518,0.395491606,0.368494221,0.446619447,0.463908864,0.426415462,0.323546619,0.250317229,0.219857127,0.182705339,0.133978324,0.135954615,0.196662467,0.0516389299,0.142873096,0.192368081,13.6123251,14.938348,15.3876376,17.2760834,20.7208404,20.4092798,21.1286651,23.5383391,24.6638527,22.8306769,22.068018,22.3489222,21.7946478,19.1738554,17.9042208,15.1930162,13.8900485,11.4246707,7.82882523,5.34169049,3.17573734,2.3610139,2.65701995,3.08078623,2.7248714,2.16038087,1.25431787,0.0779432757,0.0106102396,0,0,0.583803729
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_4.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_4.wav,2.87019214,0.44910812,0.555593022,0.719140363,0.742250015,0.706084133,0.832864122,0.814665636,0.840467944,0.847973639,0.723036634,0.599288109,0.5483528,0.463797313,0.453268215,0.573450818,0.52846559,0.572597091,0.49419056,0.302585727,0.0427258762,-0.0518141967,-0.145204852,-0.109475633,-0.0516374518,0.0491364383,0.0322828048,0.0200458198,0.0230871142,0.971459441,1,0.975964479,0.953629416,-0.135629341,-0.161211711,0.357182432,0.266703551,0.160767703,0.440793883,0.341510579,0.520432564,0.408018598,0.166582815,0.124455229,0.157460004,0.00981084483,-0.00590270462,-0.0862523916,0.00871700779,0.00320836574,1.33889984e-05,-0.0621836033,-0.534428518,-0.34477875,-0.596443352,-0.497280806,-0.292525108,9.43262773e-06,1.21734691e-05,3.58898664e-05,0.00300791507,0.891313334,1,0.836034655,0.729029877,0.53625083,0.491287058,0.349125933,0.387888781,0.412006923,0.246551259,0.358757682,0.28458076,0.257703184,0.365709458,0.472642285,0.42976894,0.542694008,0.489848288,0.396680546,0.446520303,0.373983229,0.368058554,0.395028484,0.414733348,0.274902612,0.274456405,0.263301255,0.176859474,0.160896276,0.137792098,0.109435901,0.0986588327,0.143239846,0,0.0919438644,0.149030592,13.9296606,15.518621,17.2758868,17.5356902,21.4383474,20.4524113,19.318244,21.5218999,17.884649,16.5584468,15.0728413,14.3607148,13.660502,13.3086734,11.1001373,9.78601956,8.09361998,6.66912309,4.11117547,3.19493991,2.86251169,2.96285859,3.13686091,3.454717,3.28220928,2.76082031,1.42047858,0.0268848275,0,0,0,0.236983223
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_5.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_5.wav,2.39910583,0.400188573,0.881504367,0.902872747,0.765459805,0.792547442,0.885259993,0.824307576,0.902480969,0.948458994,0.911272197,0.803853133,0.805383362,0.7398986,0.748499625,0.731824951,0.605622363,0.37018643,0.157121335,-0.254751723,-0.203672092,-0.0268256718,-0.00404004956,-1.47615571e-05,6.85909363e-06,2.9602794e-06,3.2338955e-06,5.57051121e-06,4.57149747e-05,0.00553080821,1,0.991146231,0.983868356,0.188284819,0.614846714,0.670746583,0.461274243,0.361625224,0.733013676,0.389959161,0.774816034,0.877628667,0.766275712,0.370150241,0.303489154,0.516176627,0.4563529,0.305555899,0.349023642,-0.101092914,-0.153524531,-0.693577112,-0.545036257,-0.229787508,-0.021580596,-0.000159122932,3.03417503e-06,2.89548823e-06,3.15322164e-06,5.15214423e-06,3.80343973e-05,0.00428379094,1,0.920316081,0.8548152,0.478926673,0.206771749,0.175245509,0.380830092,0.343330037,0.167354807,0.296455527,0.144146225,0.0784499172,0.17369566,0.327160052,0.321220142,0.320038742,0.291209711,0.303131835,0.377254254,0.487386923,0.440035102,0.387636754,0.310628557,0.145142381,0.0272222501,0.00246307624,7.921473e-05,2.39166228e-07,2.28355261e-07,6.24120642e-07,1.50166872e-05,0.00264804559,0,0.0819897769,0.119574258,12.669667,11.3030022,19.1473901,19.3805558,20.5254467,20.4899027,22.0584874,21.1041754,19.5610039,20.2368851,16.105493,14.2190582,11.8351153,12.4698598,8.84398409,6.5340676,5.94429916,4.96210661,4.41198643,5.05439787,5.19224037,5.36561249,5.5309992,5.6355345,5.87109668,5.68121043,4.45706016,1.34342985,0,0,0,0.00220873827
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_6.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_6.wav,2.74954518,0.61095803,0.516910348,0.472482805,0.736256259,0.756679531,0.657501774,0.618056012,0.665220632,0.71812138,0.677553248,0.600400225,0.611962164,0.335866798,0.274944904,0.160824452,0.125188921,0.193255691,0.128447287,0.20153275,0.203706901,0.203707008,0.203707118,0.203706774,0.203706651,0.203706529,0.203706639,0.203707822,0.203719666,0.205089589,1,1,1,0.0291849776,0.00684247403,-0.010640145,0.000284397877,-0.029629066,-0.0326848362,-0.00684048882,-0.0128395166,-0.00547546414,0.00966433538,0.00975938144,0.00355904502,-0.104666694,0.00609680072,-0.000418114426,-0.0075074427,0.00234845334,-0.00167975517,-0.0191821687,2.27699911e-06,2.24188579e-06,2.17727854e-06,2.05007164e-06,1.95075527e-06,1.81735692e-06,1.94285313e-06,2.84504515e-06,1.12024077e-05,0.00100373658,1,1,1,0.363442725,0.354946195,0.3854995,0.397204375,0.41886517,0.470366288,0.470157699,0.391877431,0.401056466,0.381397782,0.404252298,0.407094778,0.452503819,0.430014191,0.426512496,0.356446635,0.356850617,0.331971419,0.404714573,0.403497464,0.40349741,0.403497354,0.403497528,0.40349759,0.403497652,0.403497597,0.403496997,0.403491003,0.402848223,0,0,0,8.15345314,3.95808821,3.67633439,7.35800694,14.8205245,14.526344,9.19692223,9.96283957,11.3032523,9.18453087,8.57939384,6.00296318,6.21009525,5.5013669,4.83779719,4.87530724,4.70093797,4.7512645,4.92071652,5.08925986,5.1647775,5.26648574,5.46146156,5.56334373,5.77969453,5.71995135,4.81241944,2.32559798,0,0,0,0
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_7.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_7.wav,2.40066559,0.856598617,0.917407457,0.893336014,0.784305627,0.7951492,0.843994624,0.892546735,0.896755393,0.899600815,0.876519034,0.726755696,0.65453689,0.703847583,0.738621878,0.622673841,0.737757454,0.777490628,0.631179089,0.229429434,-0.389794917,-0.481965406,-0.310260231,-0.0507360364,-0.00572292079,0.00347916273,0.000484066829,5.26781483e-06,3.46787248e-05,0.00380095309,1,0.930758469,0.87212511,0.331164012,0.818308642,0.840074321,0.291816299,0.566829546,0.213200918,0.622959267,0.770802318,0.73443201,0.752209326,0.462110644,-0.00442104431,0.105787831,0.467315235,0.150502979,0.329510668,0.503705888,0.197178407,-0.297962427,-0.715911112,-0.804867127,-0.552940505,-0.135813827,-0.0332560207,-0.00233090438,3.24064858e-06,5.04713729e-06,2.81901074e-05,0.00284012366,1,0.864654863,0.683819424,0.310508913,0.0933266516,0.131373772,0.325805308,0.302180329,0.312836354,0.208781727,0.156053182,0.206428529,0.203584096,0.328638411,0.419214946,0.435898825,0.36752908,0.42021737,0.296664015,0.233507111,0.278458969,0.435069761,0.428046881,0.332739676,0.301126576,0.150319744,0.0964246349,0.0305350525,0.002833146,5.46624359e-07,1.16264168e-05,0.00178192483,0,0.192488588,0.283116552,13.8991702,18.6285929,21.6904069,23.4718974,24.5909573,24.0638297,23.697491,24.2524263,23.4243688,20.2010237,19.3305422,17.7408128,18.153373,16.6877492,16.0765023,13.3111254,10.4231889,6.73981759,3.96653479,4.30992957,5.12671439,5.67840696,5.92916827,5.97969603,6.01911907,5.6412097,4.57570891,1.61620157,0,0,0,0.0998168135
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_8.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_8.wav,2.94189458,0.586086081,0.640083475,0.56409479,0.464271715,0.492717126,0.584447506,0.621007557,0.538728177,0.549089255,0.565098637,0.360542666,0.468058019,0.507985406,0.328205416,0.380744628,0.383243016,0.306157564,0.326709505,0.257083457,0.187031577,0.186911392,0.221799895,0.271412614,0.294944452,0.299897423,0.300001951,0.30000277,0.300007963,0.300642944,1,1,1,0.0155598686,0.016630529,0.00733175878,-0.00296177707,0.0392477113,0.0393446935,0.0276198398,-0.00330982302,0.00498383673,0.010230159,0.0104510636,0.0255148481,-0.0048971594,-0.209905621,-0.00910007933,0.00273521392,-0.207994673,-0.111087092,-0.195293756,-0.394008901,-0.3843769,-0.282702078,-0.128651433,-0.0435661279,-0.0010277224,1.16833322e-06,1.55407116e-06,4.24223382e-06,0.000344240656,1,1,1,0.433710025,0.441517192,0.415476828,0.476361689,0.468786015,0.438446587,0.433335783,0.422530651,0.446751849,0.441745858,0.559522179,0.426651118,0.403940159,0.489673998,0.477939815,0.47795272,0.549265393,0.522449488,0.561696259,0.575844494,0.568666844,0.531795647,0.476283813,0.460890395,0.455553371,0.455480033,0.455479492,0.455476061,0.455071178,0,0,0,3.30927119,8.61180037,10.0289989,11.3850592,10.9784531,12.5845649,12.5840106,11.5610945,12.1279643,10.6582191,9.03506047,8.48471856,7.83272767,6.8704188,6.93676804,6.08870396,5.83883845,5.55117581,5.24608515,5.42372149,5.6628811,5.93655494,6.12676116,6.28653482,6.50034529,6.41234154,5.61922775,3.45090404,0,0,0,0
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_9.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_9.wav,2.3789595,0.355883654,0.465640525,0.806298634,0.91665519,0.831027921,0.766200663,0.840270048,0.88526819,0.884919058,0.841603723,0.672402184,0.549120525,0.671648259,0.742949349,0.674097994,0.578428427,0.379625144,-0.0200592983,-0.160519795,-0.137347883,-0.0654786495,-0.00994673676,-0.000236819231,1.13135844e-06,1.07565035e-06,1.10362318e-06,1.43824184e-06,3.78868783e-06,0.000306325427,1,0.998656981,0.995889959,0.0396556268,-0.006397341,0.650785708,0.828772044,0.520246334,0.533552403,0.63782073,0.667918554,0.53110065,0.481799975,0.373211861,-0.0328123325,0.0932813051,0.376295775,0.301605186,-0.0334323807,-0.0783339614,-0.176627432,-0.393402659,-0.480203875,-0.27175606,-0.051867363,-0.00201778328,1.10420057e-06,1.04327124e-06,1.08713372e-06,1.42136884e-06,3.64724728e-06,0.000293296314,1,0.987912832,0.963009634,0.570899071,0.463079675,0.181762898,0.119939281,0.298708497,0.331674859,0.213605855,0.217491067,0.277387605,0.309832587,0.461166674,0.481429521,0.41742002,0.346583732,0.419438946,0.442524406,0.454765416,0.405850684,0.371943566,0.247233051,0.152037499,0.0357230053,0.00190097709,6.06625314e-08,5.13778057e-08,4.43012538e-08,7.88728729e-08,3.61822196e-07,3.23988645e-05,0,0.0158848045,0.0369768421,13.137748,14.1172912,15.082294,18.7393515,21.2958173,22.3285629,20.5127291,22.1152684,19.7573702,17.055016,14.2787872,13.4526829,13.6318772,13.6240499,11.089703,9.51435506,8.20466482,7.40541967,7.4705438,7.98711191,8.33475246,8.74391778,9.11726565,9.41455634,9.68472472,9.6325043,8.57331515,5.38844626,0,0,0,0.00126132049
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_10.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_10.wav,3.0074259,0.292061811,0.393834483,0.331563128,0.378833891,0.475685108,0.649404536,0.73689828,0.75525627,0.758436909,0.757586776,0.813803542,0.785893737,0.821234676,0.844945289,0.789389353,0.710566902,0.584013428,0.563858244,0.619120537,0.767732338,0.771426818,0.658093078,0.614717687,0.410416603,0.0160270781,0.226578691,0.22504781,0.196677912,0.83987335,0.955387344,0.904671119,0.850700022,0.00203489406,0.0413307684,-0.045525579,0.0153114402,-0.0726768588,0.0859374977,0.188087503,-0.0236946728,0.117323846,0.373685918,0.60144402,0.226903694,0.328881168,0.630184324,0.537707739,0.445985957,0.193148598,0.390839271,0.498954246,0.650023903,0.660299541,0.505808542,0.454590605,0.289438233,-0.324528042,-0.00798462388,-0.0153872074,0.0314584463,0.652085469,0.800037976,0.745493304,0.570665967,0.552590544,0.486858333,0.493191728,0.481061026,0.489499639,0.447790466,0.386631615,0.381984112,0.365837781,0.34954939,0.262996505,0.368780223,0.3194721,0.24295659,0.312242952,0.372847874,0.365525557,0.422137462,0.394096214,0.196467233,0.167812446,0.222964126,0.223764928,0.311125444,0.510512553,0.325891409,0.323578346,0.284757894,0.270969738,0.159280115,0.205103897,0.270019677,15.2306857,16.6409398,16.9686413,17.6162559,18.9687496,20.0892306,22.7380143,22.7813992,23.2330503,23.4375329,23.8037521,24.5299134,25.1531847,24.3793804,22.8628606,20.5226402,18.3512865,17.0586064,14.5466701,12.3461137,9.5295315,6.53467949,4.55513695,2.42165718,2.47528048,2.61158865,1.30978128,0.237187382,0.0361769732,0,0,1.68543532
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_11.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_11.wav,2.33360633,0.529241648,0.703034695,0.787102115,0.885203918,0.959902619,0.888555036,0.823546432,0.72499346,0.789620277,0.766946885,0.694223775,0.707139365,0.816166197,0.7458085,0.577563308,0.551769107,0.290479728,0.17412019,0.121939667,-0.131934207,-0.239272777,-0.138760833,-0.0465549879,-0.0121811556,0.000153664731,0.000133937236,1.16682168e-06,2.81439208e-06,0.000211599885,0.878521828,0.989517381,0.972743793,0.138726317,0.208967377,0.579463849,0.616734612,0.817284066,0.470744638,0.511016368,0.312420675,0.538525041,0.478548685,0.479940079,0.132398839,0.577219104,0.404802346,-0.380326873,-0.13598268,-0.276521288,-0.230187432,-0.176027505,-0.507900476,-0.545612101,-0.417016838,-0.164939393,-0.0588726322,-0.00133354824,9.02879421e-07,1.15694138e-06,2.75518605e-06,0.000191752487,0.67617246,0.93576305,0.883673654,0.383858907,0.36415436,0.293992303,0.23321249,0.0981345669,0.310732972,0.373186443,0.428428536,0.290513569,0.329740399,0.417225356,0.436188643,0.258711725,0.304560741,0.512673539,0.478175538,0.541415569,0.486115005,0.417093102,0.36348753,0.301674823,0.245839005,0.122250229,0.0574833441,0.0151002205,0.00135870849,5.45550851e-08,2.22898823e-07,3.5334748e-05,0.261673706,0.0535912773,0.112039025,3.64300006,9.63270526,13.9555979,17.2670166,22.8297584,23.2712471,18.5601123,17.8374292,17.9517834,15.6716575,15.7488239,14.9589847,14.9482581,12.8420031,11.7663717,10.418734,9.01195891,8.75251553,8.14857526,9.03928943,9.54715977,9.91169257,10.2009902,10.4564053,10.7047092,10.5770239,9.48798119,6.30300083,0.0332056649,0,0,0.0387851433
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_12.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_12.wav,3.83860758,0.500725631,0.919963464,0.924385314,0.887585146,0.887513197,0.901775982,0.908661278,0.940960855,0.96795594,0.86070595,0.751626941,0.891591337,0.871114135,0.77937599,0.651983084,0.865914068,0.642548714,0.311919919,0.160679498,-0.00650795647,0.0346751821,0.00171102888,0.006327079,0.000866160342,0.00208192812,0.156398218,0.955645056,0.99241919,0.99865336,1,0.970786025,0.960971764,0.284023537,0.781117908,0.76141001,0.619576488,0.745332369,0.694073598,0.663662163,0.726305187,0.902162619,0.450984335,0.164860111,0.800025748,0.761630067,0.511666208,0.293304227,0.775194253,0.203732292,-0.228799901,-0.104745477,-0.387501932,-0.121787411,-0.0191942763,-0.0165880279,5.34770502e-05,0.000249614981,0.0236573133,0.7826749,0.94199407,0.987880237,1,0.797578217,0.737772751,0.482137989,0.138023058,0.134000922,0.228556799,0.201194306,0.160371324,0.263378363,0.162574518,0.0645911834,0.296224374,0.364831512,0.131011069,0.174441328,0.275598337,0.48345666,0.140332564,0.360687701,0.40625227,0.32465063,0.388023473,0.222875791,0.174949828,0.085072807,0.00733781452,0.0128310378,0.260716494,0.194283201,0.0779320239,0.0223989652,0,0.123633358,0.150930386,16.3569511,16.1479606,22.1245105,19.0874616,20.7431611,20.8596624,23.4765245,22.7334212,19.9190294,16.2828305,17.0397178,16.1447559,14.2927342,11.4934887,13.5033396,9.30138718,6.70161612,5.11870036,3.30763701,3.04193804,2.79378055,2.50003343,2.06586213,1.38237623,0.546043921,0.037800158,0.00373816102,0.000289380105,0,0,0,0.103003598
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_13.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_13.wav,2.7202738,0.823422628,0.951853144,0.951930242,0.868167432,0.962965407,0.965810573,0.96987851,0.949222229,0.879737807,0.884507071,0.788236449,0.8164746,0.848656686,0.732944776,0.82824966,0.759889213,0.747448079,0.61700301,0.46014459,0.344392725,0.59245459,0.762105053,0.759582507,0.0158119405,0.000192679533,0.00010892357,-0.00163957404,0.00671777957,0.672960248,0.999499092,0.957283171,0.932213275,0.700596261,0.928684245,0.829910139,0.660647978,0.917521981,0.876595562,0.921219762,0.821250539,0.686402662,0.694231785,0.436553669,0.594090017,0.747793801,0.355011231,0.722469464,0.484148559,0.46204564,-0.0232290853,0.00101503703,0.17909632,0.15617553,0.262904652,0.333974878,-0.00107240017,7.37275581e-05,1.93732304e-05,-0.0133936361,0.000516029925,0.146442844,0.995491831,0.863305712,0.803444326,0.255443514,0.0643364056,0.0781298987,0.221495105,0.0525207118,0.0664459717,0.0536699761,0.14274389,0.224695751,0.245337985,0.314981508,0.276502928,0.181066145,0.285275861,0.183493658,0.279885411,0.256916077,0.372025709,0.350161047,0.334072182,0.42907406,0.409165788,0.397489351,0.0324627687,0.000651370226,0.00141217823,0.0140393015,0.0342697497,0.417017328,0.00585224419,0.126144253,0.168491398,13.8829742,18.841961,24.2261163,24.4870265,25.2859308,26.803092,27.2815481,23.6627873,23.5148656,21.2077406,19.704252,19.3082989,17.1365631,15.9556424,13.4471663,9.93348353,7.62159701,5.18175738,2.34353851,0.662360207,0.0749323077,0.00303338265,0.00407784613,0.0564032519,0.993177671,2.24973661,1.92478827,0.152634701,0,0,0,1.10930126
/lcncluster/lisboa/spikes_audio_diffusion/wav_inputs/visqol48/audio_14.wav,/lcncluster/lisboa/spikes_audio_diffusion/wav_outputs/tmp_visqol/audio_14.wav,4.02212499,0.00748542328,0.0941907153,0.382998135,0.369617174,0.363602299,0.397535066,0.400410974,0.428586732,0.439568043,0.465578345,0.445531514,0.4037837,0.445168936,0.546470139,0.601935577,0.601762787,0.665916054,0.710155698,0.751508333,0.761400627,0.80472542,0.804724566,0.804741457,0.804744674,0.804726728,0.804728352,0.804734789,0.80563181,0.816430162,1,1,1,-0.0936797785,0.0123811295,0.0105466615,-0.0512901387,-0.0375871912,-0.00826793473,-0.177219675,-0.0745356984,0.000501926861,0.00496356491,-0.00174727434,-0.255524388,-0.0263460693,0.00734731386,-0.00485710308,-0.000803288858,-0.0283180784,0.0460960887,0.420990049,0.509921615,0.666674548,0.666673063,0.666672817,0.666672088,0.666671638,0.666671606,0.66667364,0.666689754,0.668555049,1,1,1,0.196652758,0.224258689,0.437547988,0.49656398,0.49276493,0.473255908,0.506028643,0.48951106,0.477952813,0.472666249,0.48036392,0.553831773,0.497850907,0.484094331,0.488193316,0.488033358,0.47561755,0.450509691,0.431427469,0.423744965,0.394955325,0.394957066,0.394922371,0.394915775,0.394952607,0.394949267,0.394936058,0.393255174,0.381772835,0,0,0,0.962622871,1.45090913,2.05290883,3.34931696,2.8410297,2.47309951,3.21838355,2.30359628,2.59252624,1.58239969,1.33735262,1.10519343,2.11595654,1.22356791,1.13052963,0.812965362,0.873843748,0.878159939,0.946754229,0.967326537,1.08827961,1.15336025,1.12895725,1.19441901,1.2713868,1.26547481,1.09782241,0.606290526,0,0,0,0
